old_name,new_name
Congo; Dem. Republic of the,Democratic Republic of the Congo
Ethiopia,Ethiopia
Ghana,Ghana
Guatemala,Guatemala
Haiti,Haiti
India,India
Indonesia,Indonesia
Kenya,Kenya
Liberia,Liberia
Madagascar,Madagascar
Malawi,Malawi
Mali,Mali
Mozambique,Mozambique
Nepal,Nepal
Nigeria,Nigeria
Philippines,Philippines
Rwanda,Rwanda
Senegal,Senegal
Sudan South,South Sudan
Tanzania,Tanzania
Uganda,Uganda
Zambia,Zambia
