,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC,DALYsPC
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria,Malaria
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million,Million per million
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2042,          0.008,          0.007,          0.007,          0.007,          0.008,          0.006,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008
 2043,          0.008,          0.007,          0.007,          0.007,          0.007,          0.006,          0.008,          0.008,          0.008,          0.008,          0.008,          0.007,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.008,          0.007
 2044,          0.007,          0.006,          0.007,          0.007,          0.007,          0.006,          0.008,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.008,          0.007,          0.007,          0.007,          0.007,          0.007
 2045,          0.007,          0.006,          0.006,          0.006,          0.007,          0.006,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007
 2046,          0.007,          0.006,          0.006,          0.006,          0.006,          0.005,          0.007,          0.007,          0.007,          0.007,          0.007,          0.006,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007,          0.007
 2047,          0.007,          0.006,          0.006,          0.006,          0.006,          0.005,          0.007,          0.007,          0.007,          0.006,          0.006,          0.006,          0.006,          0.006,          0.007,          0.007,          0.007,          0.006,          0.006,          0.006
 2048,          0.006,          0.005,          0.006,          0.006,          0.006,          0.005,          0.007,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006
 2049,          0.006,          0.005,          0.005,          0.005,          0.006,          0.005,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006
 2050,          0.006,          0.005,          0.005,          0.005,          0.005,          0.005,          0.006,          0.006,          0.006,          0.006,          0.006,          0.005,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006,          0.006
 2051,          0.005,          0.005,          0.005,          0.005,          0.005,          0.004,          0.006,          0.006,          0.006,          0.005,          0.005,          0.005,               ,               ,          0.006,          0.006,          0.006,          0.005,          0.005,          0.005
 2052,          0.005,          0.005,          0.005,          0.005,          0.005,          0.004,          0.006,          0.005,          0.005,          0.005,          0.005,          0.005,               ,               ,          0.005,          0.005,          0.005,          0.005,          0.005,          0.005
