,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,,,,,,,,,,,,,,,,,,,,
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2042,          74.11,          99.99,          92.09,          74.67,          74.44,          99.99,          67.20,          73.57,          73.01,          74.63,          75.12,          80.85,          71.49,          78.50,          73.88,          74.09,          74.08,          74.13,          74.14,          74.29
 2043,          74.79,          99.99,          93.21,          75.38,          75.14,          99.99,          67.95,          74.26,          73.70,          75.30,          75.79,          81.40,          72.19,          79.09,          74.55,          74.77,          74.76,          74.81,          74.82,          74.98
 2044,          75.46,          99.99,          94.29,          76.08,          75.84,          99.99,          68.68,          74.93,          74.38,          75.96,          76.45,          81.95,          72.89,          79.65,          75.21,          75.44,          75.42,          75.48,          75.49,          75.66
 2045,          76.12,          99.99,          95.34,          76.78,          76.53,          99.99,          69.41,          75.60,          75.06,          76.62,          77.10,          82.50,          73.58,          80.22,          75.86,          76.11,          76.09,          76.14,          76.16,          76.33
 2046,          76.78,          99.97,          96.34,          77.46,          77.22,          99.99,          70.13,          76.27,          75.73,          77.28,          77.75,          83.04,          74.27,          80.77,          76.51,          76.77,          76.74,          76.80,          76.82,          77.00
 2047,          77.44,          99.96,          97.32,          78.14,          77.91,          99.99,          70.85,          76.93,          76.40,          77.92,          78.39,          83.58,          74.95,          81.33,          77.15,          77.42,          77.40,          77.46,          77.48,          77.67
 2048,          78.10,          99.96,          98.25,          78.82,          78.59,          99.99,          71.57,          77.60,          77.07,          78.57,          79.03,          84.11,          75.63,          81.88,          77.79,          78.08,          78.05,          78.11,          78.13,          78.33
 2049,          78.75,          99.96,          99.15,          79.50,          79.28,          99.99,          72.29,          78.26,          77.74,          79.22,          79.68,          84.65,          76.30,          82.44,          78.44,          78.73,          78.71,          78.77,          78.79,          78.99
 2050,          79.41,          99.95,          99.98,          80.18,          79.97,          99.99,          73.02,          78.93,          78.42,          79.88,          80.33,          85.19,          76.98,          82.99,          79.09,          79.39,          79.37,          79.43,          79.46,          79.66
 2051,          80.08,          99.95,          99.94,          80.87,          80.59,          99.99,          73.76,          79.60,          79.10,          80.54,          80.98,          85.72,               ,               ,          79.74,          80.06,          80.03,          80.10,          80.12,          80.33
