Number,Country
1,Democratic Republic of the Congo
2,Ethiopia
3,Ghana
4,Guatemala
5,Haiti
6,India
7,Indonesia
8,Kenya
9,Liberia
10,Madagascar
11,Malawi
12,Mali
13,Mozambique
14,Nepal
15,Nigeria
16,Philippines
17,Rwanda
18,Senegal
19,South Sudan
20,Tanzania
21,Uganda
22,Zambia
